id;number;reference;status;type;total_ht;total_tva;tota_ttc;date;due_date;is_converted;company_id
1;Cambridgeshire Dynamic orange;system synthesizing;FINALIZED;PURCHASE;52403;95189;75848;2020-11-04;2020-11-05;false;50681
2;Plastic 1080p Beauty;Cambridgeshire mobile;CANCELED;PURCHASE;60740;57708;88111;2020-11-05;2020-11-04;true;72570
3;back-end;Group Palladium;CANCELED;SALE;72024;73105;76220;2020-11-05;2020-11-04;true;77653
4;invoice Assurance;Metrics;CANCELED;SALE;97751;33810;76939;2020-11-04;2020-11-05;false;4392
5;Uzbekistan Sum extensible lavender;XML hard drive best-of-breed;DRAFT;PURCHASE;82373;86470;14326;2020-11-04;2020-11-05;true;12095
6;Dobra facilitate;Burkina Faso Tools Credit Card Account;FINALIZED;SALE;67053;37302;97637;2020-11-04;2020-11-04;false;23797
7;Analyst;instruction set;FINALIZED;SALE;5480;5316;87597;2020-11-05;2020-11-04;false;23255
8;Refined Cheese;lavender Shirt Licensed;CANCELED;SALE;75056;80385;7925;2020-11-04;2020-11-04;true;401
9;haptic;Heights Cliffs Summit;DRAFT;PURCHASE;52900;48022;88657;2020-11-05;2020-11-04;false;42038
10;withdrawal even-keeled SDD;reboot Wooden Self-enabling;FINALIZED;PURCHASE;91742;29138;91329;2020-11-05;2020-11-05;false;86789
