id;number;reference;status;type;total_ht;total_tva;tota_ttc;date;due_date;is_converted;company_id
1;strategy;optical primary;DRAFT;SALE;62840;19911;88686;2020-11-04;2020-11-04;false;55214
2;Forward monetize;24 hour Louisiana;DRAFT;SALE;94678;72508;43124;2020-11-04;2020-11-04;true;6504
3;Palladium olive Intelligent;Alaska bricks-and-clicks Keyboard;FINALIZED;PURCHASE;27689;40298;13469;2020-11-05;2020-11-05;false;11903
4;architectures;Innovative Refined Wooden Chips;CANCELED;SALE;78046;37509;28714;2020-11-05;2020-11-04;false;22041
5;Jewelery Bike deposit;Cote d'Ivoire redundant Games;DRAFT;PURCHASE;58485;69069;37756;2020-11-04;2020-11-04;true;33763
6;Chief Borders;Money Market Account;FINALIZED;PURCHASE;53380;73192;81062;2020-11-04;2020-11-04;true;18799
7;SQL withdrawal;Investor Refined Steel Chair Metical;DRAFT;PURCHASE;38940;50341;40363;2020-11-05;2020-11-05;true;58548
8;Bike Facilitator Handmade;deliverables Bedfordshire mint green;FINALIZED;PURCHASE;40113;32116;45072;2020-11-05;2020-11-04;false;96928
9;Fantastic;Rubber Gorgeous;CANCELED;PURCHASE;81050;78395;64305;2020-11-04;2020-11-04;false;57435
10;infrastructures;Industrial Vision-oriented generating;DRAFT;PURCHASE;10123;72841;92026;2020-11-05;2020-11-05;true;50302
