id;name;details;location;company_id
1;Health;neutral RSS Licensed;envisioneer program;16689
2;Philippine Peso;Architect Public-key;Kids Technician;64237
3;Manager Bulgarian Lev hack;invoice seize reboot;Greens Bahraini Dinar Buckinghamshire;53710
4;International;multi-byte next generation;purple Keyboard turquoise;63946
5;Administrator SMS redundant;Pants leading-edge open-source;Cambridgeshire Investment Account Springs;56743
6;Digitized withdrawal;compress;composite Yemeni Rial;68389
7;District;synergies;Colorado Berkshire Usability;23947
8;system-worthy Louisiana engineer;Handcrafted Plastic Computer Facilitator;South Dakota Synergized Rupiah;75816
9;Intelligent Fresh Keyboard New Hampshire Realigned;Infrastructure;input payment;72230
10;Multi-channelled Fantastic;UIC-Franc Dobra;Cyprus Robust mint green;90378
