id;number;reference;status;type;total_ht;total_tva;tota_ttc;date;due_date;company_id
1;Texas Concrete;FTP;DRAFT;SALE;30348;64379;78406;2020-11-05;2020-11-05;79862
2;Intranet program Unbranded;SDR;PAID;SALE;56857;17323;59835;2020-11-04;2020-11-05;31806
3;Indian Rupee Ngultrum;monitor;PAYEMENT_IN_PROGRESS;SALE;70258;97394;80874;2020-11-05;2020-11-04;31192
4;program transmitting EXE;Director Gloves Jamaican Dollar;PAYEMENT_IN_PROGRESS;SALE;99574;33894;20615;2020-11-05;2020-11-05;58385
5;Integration structure;action-items;CANCELED;SALE;30873;5232;18406;2020-11-04;2020-11-04;83224
6;interactive reintermediate indigo;Salad;DRAFT;PURCHASE;5687;62193;13730;2020-11-05;2020-11-05;24856
7;index copying;pixel;PAYEMENT_IN_PROGRESS;PURCHASE;20149;51245;51073;2020-11-04;2020-11-05;58055
8;Accounts seamless Malawi;plum Bedfordshire;PAYEMENT_IN_PROGRESS;PURCHASE;85552;55967;5450;2020-11-04;2020-11-05;82317
9;Inverse Toys;deposit visionary;FINALIZED;SALE;72898;43013;3405;2020-11-04;2020-11-04;6376
10;Comoros 24/7;Factors;PAID;PURCHASE;52796;61535;32565;2020-11-05;2020-11-05;66239
