id;type;reason;date;bill_id;tiers_id;quantity;company_user_id
1;INPUT;OTHER;2020-11-04T14:26:26;58264;61394;87747;67366
2;INPUT;CAISSE;2020-11-04T14:11:16;54731;6187;45499;522
3;INPUT;MANUAL;2020-11-04T17:21:16;72528;71038;69542;66800
4;INPUT;MANUAL;2020-11-05T06:37:12;67032;1905;94108;23870
5;INPUT;MANUAL;2020-11-05T10:40:08;73271;71945;85555;57836
6;INPUT;MANUAL;2020-11-05T11:40:26;52986;81204;10294;97937
7;OUTPUT;INVOICE;2020-11-04T19:24:26;85699;98722;9746;35665
8;INPUT;INVOICE;2020-11-04T20:56:38;64540;65237;79742;96127
9;OUTPUT;MANUAL;2020-11-04T23:46:23;27358;89173;52160;18484
10;OUTPUT;CAISSE;2020-11-05T07:39:31;66779;59712;99711;77660
