id;name;is_valued;is_percentage;value;company_id;tax_id
1;intranet Customer Bedfordshire;false;false;57439;66965;52561
2;Investment Account application;false;true;66709;3140;22093
3;Managed Sleek Wooden Ball Music;true;true;51934;28086;22477
4;Chair Fantastic Plastic;false;false;58773;63572;12480
5;eyeballs Metal Assistant;false;true;70587;93260;39888
6;Multi-tiered Avon Developer;true;true;44491;26679;11258
7;Wyoming Dynamic primary;true;false;55194;83657;56805
8;Cotton;false;false;44323;24305;41340
9;open-source Handcrafted Granite Soap ivory;true;true;17684;16042;80495
10;Algeria;true;true;89638;16911;13661
