id;name;with_ticket;with_tva;with_tax;with_appro;theme_color;is_activated;company_id
1;mobile;false;false;true;true;Liaison eco-centric;false;3594
2;yellow Orchard;false;true;false;false;Human invoice;true;59692
3;Dominica;true;true;true;false;Electronics;false;65010
4;Netherlands Antilles;true;false;false;true;Louisiana parse;true;84563
5;generate array;false;true;false;true;SAS matrix;true;4030
6;withdrawal Auto Loan Account;true;true;false;false;Outdoors maximize Money Market Account;false;68783
7;Concrete Berkshire;false;false;true;true;Awesome Buckinghamshire Cambridgeshire;false;56302
8;XSS Tasty Plastic Bacon;false;true;false;true;reboot multi-byte Vermont;false;56404
9;Oregon;true;false;true;false;Brunei Dollar Steel;false;23498
10;Christmas Island interface synthesize;false;false;true;false;generate platforms;true;77735
