id;product_id;cashier_prod_name;cashier_prod_qty;cashier_prod_purchase_unit_price;cashier_prod_sale_unit_price;cashier_prod_stock_limit;cashier_prod_stock_limit_alert
1;48104;Minnesota;24829;72428;26841;33547;false
2;13182;initiatives pixel;48089;76631;93572;64126;true
3;97768;quantifying teal Greenland;94868;27470;96568;67446;false
4;44501;transmitting;54476;99219;6954;19860;false
5;72935;Incredible Rubber Car turquoise;78302;40045;85127;31673;true
6;16841;deposit responsive Beauty;84943;74281;48838;35190;true
7;33037;Toys Steel;77605;77556;15799;75718;false
8;67638;haptic synthesize;63158;38673;69008;49767;false
9;32614;architectures Money Market Account;62754;17164;1126;94985;true
10;24862;National Specialist calculating;14589;29061;26471;17088;true
