id;details;amount;payment_date;payment_method;bank_checkor_trait_number;image_justif;image_justif_content_type
1;web-readiness;62054;2020-11-05T12:15:37;BANK_CHECK;exuding payment Avon;../fake-data/blob/hipster.png;image/png
2;Montana grey;17816;2020-11-04T16:20:58;CREDIT_CARD;Wooden;../fake-data/blob/hipster.png;image/png
3;enable multi-byte extend;53054;2020-11-04T23:09:49;CASH;Liaison;../fake-data/blob/hipster.png;image/png
4;Intelligent Personal Loan Account;14591;2020-11-04T20:58:39;BANK_TRAIT;solutions Vanuatu Salad;../fake-data/blob/hipster.png;image/png
5;hard drive Personal Loan Account yellow;14541;2020-11-05T10:16:57;BANK_CHECK;invoice non-volatile black;../fake-data/blob/hipster.png;image/png
6;Configuration;91274;2020-11-04T19:20:43;BANK_CHECK;Streamlined;../fake-data/blob/hipster.png;image/png
7;bypass;9126;2020-11-05T08:36:43;BANK_TRAIT;Home;../fake-data/blob/hipster.png;image/png
8;Gorgeous Wooden Pants copy Denar;78326;2020-11-04T18:20:54;BANK_CHECK;transform RAM Applications;../fake-data/blob/hipster.png;image/png
9;Investment Account indexing;16888;2020-11-05T11:54:46;BANK_CHECK;Computer Fresh Outdoors;../fake-data/blob/hipster.png;image/png
10;Advanced Rhode Island;61042;2020-11-04T18:50:03;CASH;multimedia;../fake-data/blob/hipster.png;image/png
