id;name;activated_at;activated_until;is_activated;price
1;24/365 Wooden;2020-11-04;2020-11-05;false;81419
2;neural primary;2020-11-05;2020-11-04;false;75861
3;Knoll;2020-11-05;2020-11-04;false;56495
4;superstructure Louisiana Money Market Account;2020-11-04;2020-11-04;false;72379
5;transmitting feed;2020-11-05;2020-11-05;false;50346
6;matrix Accounts New York;2020-11-04;2020-11-05;true;82796
7;synthesize transitional Computer;2020-11-05;2020-11-04;false;85668
8;Sleek Granite Bacon;2020-11-04;2020-11-05;false;34552
9;Swiss Franc 24/7;2020-11-04;2020-11-04;false;3092
10;open-source Indonesia;2020-11-04;2020-11-05;false;60550
