id;quantity;total_ht;total_tva;tota_ttc;date;status;requester_offer_id
1;70915;29036;21643;67604;2020-11-05;COMPLETED;8806
2;68901;43085;19652;21054;2020-11-05;PENDING;10693
3;42374;15397;63591;25206;2020-11-05;CANCELLED;67779
4;66408;69468;43007;40004;2020-11-04;PENDING;56166
5;43509;23353;1345;78111;2020-11-05;DRAFT;68678
6;21079;81845;10207;78295;2020-11-05;COMPLETED;34843
7;36434;61198;80725;20958;2020-11-05;COMPLETED;78778
8;75107;84339;98348;9503;2020-11-04;PENDING;78027
9;32990;70992;72027;45198;2020-11-05;DRAFT;69190
10;21138;93189;70976;74612;2020-11-05;COMPLETED;29576
